Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst H2,log_P(MMM)_H2
1.09,0.26,21.44486,23.95238,5894.2,0.92432,5.237355938,0.799543781,3.356308904
0.75,0.29,38.03912,41.65264,5270.17,0.96514,10.45177611,0.393784892,4.133803515
1.09,0.26,19.0468,22.61666,6378.2,0.91318,4.275227296,0.849664921,3.356145635
1.09,0.26,19.30132,20.81668,2463.82,0.78582,1.360423386,1.752178757,3.354750952
1.386,0.1057,15.30087,19.57348,5470.07,0.88884,3.189590518,1.126199444,-1.020565493
1.22,0.25,5.41121,8.36662,1936.8,0.64684,0.790689317,3.038422052,3.737760154
1.418,0.152,18.91713,21.19624,6444.31,0.92314,5.001733816,0.763304003,2.177487774
0.75,0.29,5.12266,5.62501,1157.78,0.5562,0.533729968,4.918748058,4.126334192
1.44,0.2104,26.88763,30.28878,7041.75,0.94366,7.309527498,0.598744946,2.565173356
0.75,0.29,5.16221,5.94737,895.411,0.5343,0.433896378,5.005785588,4.098746023
1.311,0.149,14.96509,22.25131,5349.9,0.89402,3.358704636,0.868876468,1.774486562
1.311,0.149,23.23313,26.3828,5780.62,0.9239,5.750725143,0.712948808,1.77449501
1.33,0.403,5.81739,6.97253,843.277,0.52428,0.414919632,4.864265012,0.48681164
1.33,0.403,21.33892,23.67795,5715.96,0.90574,3.9247412,0.93416673,0.48681896
1.33,0.104,5.64774,7.48692,1757.71,0.62616,0.698074987,3.954599329,2.242328942
0.965,0.314,4.49111,5.98412,867.092,0.54292,0.337123164,4.728204884,4.497083205
1.306,0.166,8.94544,10.8629,3924.74,0.80484,1.410755071,1.732426757,1.268321941
1.44,0.2104,26.64057,30.35991,6953.22,0.94302,7.045980962,0.606491901,2.565189966
1.44,0.2104,22.59321,24.22024,6214.93,0.91422,4.438219702,0.890631013,2.565107765
1.311,0.149,10.03609,13.87561,1610.91,0.70492,0.729846446,2.99153608,1.774418474
1.386,0.1057,6.51336,7.99676,2896.5,0.7291,0.924323618,3.442634723,-1.020565578
1.311,0.149,9.84589,13.03399,4307.99,0.812,1.747702374,1.845434831,1.774449668
1.44,0.2104,20.09532,24.15224,6651.61,0.93014,5.577850272,0.707313652,2.565150804
1.33,0.403,5.75735,8.09273,1686.41,0.62226,0.630351188,3.961190589,0.486813779
1.33,0.403,5.47787,7.34237,470.44,0.47334,0.309570836,5.20442475,0.486808821
0.75,0.29,4.65537,7.1439,1317.57,0.60312,0.524798998,4.605382761,4.094263591
1.241,0.225,14.88459,27.51057,5109.54,0.8912,3.187467587,1.281884265,1.6304045
1.33,0.104,3.9715,4.73097,316.992,0.47138,0.247260558,5.19319661,2.242612219
1.418,0.152,10.5428,13.27795,4552.81,0.82606,1.99329183,1.824735366,2.177423059
1.311,0.149,6.771,9.5833,1825.57,0.68152,0.740863943,3.441372349,1.774250342
0.965,0.314,4.21049,5.58529,536.175,0.55504,0.319799031,4.008875658,4.379274336
0.75,0.29,22.56319,24.79485,6291.93,0.91912,4.764550978,0.795802966,4.13088746
1.33,0.104,5.65156,7.05411,1777.75,0.629,0.650092915,3.914507471,2.24249517
1.311,0.149,4.32366,7.48304,1453.09,0.63988,0.563666634,4.81973009,1.774366828
0.965,0.314,4.57646,5.32227,965.763,0.57162,0.41520727,4.503859653,4.397809124
1.418,0.152,30.8544,31.87356,5995.61,0.91206,5.068830411,0.923532851,2.177478858
0.75,0.29,8.14134,10.12638,4812.61,0.82662,1.778285478,1.686647463,4.120969985
1.09,0.26,20.25991,26.14368,5111.43,0.92336,4.351387141,0.820594891,3.356034183
1.241,0.225,4.9355,5.40311,966.824,0.54358,0.455450356,4.958660415,1.630376068
1.241,0.225,23.25508,25.71565,5829.69,0.92722,5.349171277,0.817267444,1.630412862
1.386,0.1057,26.82128,30.39175,6517.82,0.94952,7.837039238,0.590872956,-1.020565476
1.33,0.104,7.17554,12.01787,2655.45,0.72526,0.972866096,2.188706211,2.2427176
1.44,0.2104,19.6462,27.62636,4479.93,0.87038,2.727395221,1.378963323,2.565036462
1.33,0.104,6.70087,12.99921,2934.44,0.73956,1.027103899,2.947982298,2.242714309
1.306,0.166,19.26226,22.34037,6192.14,0.91336,4.114067448,0.852686815,1.268337553
0.75,0.29,6.65215,12.91792,2904.58,0.7369,1.012435272,2.989325767,4.108970645
1.09,0.26,4.32637,5.3293,400.24,0.4537,0.340758878,5.56089021,3.327424534
1.33,0.403,4.78997,6.73931,1190.66,0.56306,0.523791362,4.80526472,0.48680866
0.75,0.29,12.29498,20.38288,5594.09,0.88416,3.122375684,1.141065625,4.127840269
1.44,0.2104,8.9177,14.53863,3888.78,0.80968,1.512566738,1.804125252,2.5648254
1.09,0.26,11.69295,18.47947,4502.99,0.84824,2.202425618,1.698359841,3.355185365
1.418,0.152,4.37557,5.46748,861.334,0.53948,0.508645886,5.470605718,2.176789351
1.33,0.104,15.8965,17.81691,4204.67,0.82752,2.00121884,1.627603977,2.242867128
0.75,0.29,5.1054,5.28515,799.331,0.57306,0.427063926,5.52594018,4.120870626
1.22,0.25,5.41115,6.21978,1103.1,0.57316,0.532063421,5.183086738,3.763460557
1.306,0.166,7.51947,17.77125,3727.49,0.78298,1.329482321,2.527801604,1.268322695
1.33,0.104,7.97845,12.53968,3254.92,0.76098,1.183001639,2.374853398,2.242782606
1.306,0.166,24.47676,28.44483,4940.17,0.9236,4.75962257,0.758477586,1.268338451
1.386,0.1057,4.10448,5.15222,361.049,0.44042,0.310638388,6.364566181,-1.020565617
1.22,0.25,7.02587,10.90104,2494.49,0.7548,0.844271693,2.19242581,3.764375945
1.09,0.26,25.17059,33.31571,5811.23,0.93964,7.000797205,0.57280536,3.35655031
0.965,0.314,7.61249,12.51834,3166.39,0.73564,1.154838173,3.087585646,4.466720969
1.44,0.2104,4.60824,5.54275,612.62,0.5036,0.475183997,6.600059355,2.563494249
1.33,0.104,12.24696,16.17667,3862.21,0.84412,1.699470098,1.341099547,2.242871072
1.241,0.225,40.14726,47.7092,5125.06,0.9679,10.6513512,0.339312628,1.6304237
1.33,0.104,11.14423,16.39927,4756.4,0.8422,2.258435614,1.599204365,2.242907125
1.311,0.149,12.01888,14.02896,3184.06,0.77544,1.39171511,1.935671824,1.774442029
0.965,0.314,5.92468,10.06669,1782.67,0.68116,0.657382476,3.04096616,4.470414401
1.09,0.26,22.06701,25.02145,6357.8,0.9265,5.30189014,0.744968237,3.356216264
1.241,0.225,4.61719,8.09113,771.959,0.54146,0.377816388,4.881631992,1.630212458
1.09,0.26,14.92491,17.60901,4669.6,0.88168,2.527918985,1.151869339,3.355621899
1.09,0.26,6.62989,12.5115,2879.37,0.77,1.004064505,2.156141428,3.353441475
1.418,0.152,4.32366,7.48304,1453.09,0.63988,0.563666634,4.81973009,2.177156983
