PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
8.64841,12.48057,1.443105727,3204.15,0.7613,1.185437785,21.53530974,3.333130426,-4.292289781,-4.11227978
8.32661,13.59793,1.63306916,2502.53,0.73366,0.983318724,28.38406213,3.775948324,-4.965100618,-4.267530646
4.54136,8.31511,1.830973541,870.726,0.62074,0.521472496,30.25631709,5.030346023,-5.016592772,-4.660580971
4.11181,6.0722,1.476770571,1071.12,0.59632,0.512060453,22.54943818,3.088223147,-4.837920716,-5.087254928
3.90831,4.44036,1.136133009,156.183,0.40324,0.179223354,28.54793816,0.989722821,-4.242025405,-4.789059109
4.32303,5.2765,1.220555953,619.682,0.51092,0.373689869,25.81413512,3.341609777,-4.425282222,-4.938977995
4.89301,7.12611,1.456385742,357.969,0.42696,0.215210291,21.81823316,1.18419807,-4.118356854,-4.347433045
4.85632,5.15455,1.061410698,288.927,0.42748,0.218491089,23.18301798,1.361263793,-3.810713735,-4.496706205
9.1997,9.48255,1.030745568,928.923,0.5582,0.488329776,16.69000742,1.651327598,-3.329355568,-3.581635671
5.31262,5.94406,1.118856609,1651.78,0.585,0.631851129,22.72358231,5.65055979,-3.725039133,-4.191777564
3.80044,4.84557,1.275002368,634.174,0.49344,0.428850783,26.97146381,3.512988821,-4.511220456,-5.285049088
4.38484,5.04792,1.151221025,636.56,0.50342,0.385830453,25.1285288,3.531649984,-4.171134528,-4.983220359
14.56862,19.86541,1.363575273,5239.13,0.8979,3.268954219,17.1114033,2.020675025,-3.778125425,-3.682281717
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,17.39710845,2.573086647,-3.831373768,-3.815408454
5.01976,7.8603,1.565871675,1901.19,0.63848,0.651621246,35.62246685,7.415598708,-4.667525013,-4.622018725
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,10.31615345,0.65579269,-3.527397741,-3.519287521
3.73291,6.8318,1.830153955,952.744,0.53344,0.50715902,23.8282627,4.263731788,-4.529813865,-4.775810829
3.71719,6.8305,1.837543951,939.238,0.53354,0.506132903,23.96932654,4.303306579,-4.605383282,-4.778621859
6.0951,6.93247,1.137384128,581.981,0.45062,0.308821514,21.51816943,2.425135511,-3.432504127,-4.045756442
9.17864,11.03089,1.201800049,1154.62,0.60242,0.597959224,26.45376394,2.356541648,-3.718310526,-3.920079854
