PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
3.79229,4.92972,1.299932231,350.543,0.45268,0.2701277,13.18741039,0.108037984,-4.438573563,-4.836506875
3.97372,5.2478,1.320626516,473.694,0.47784,0.299558035,12.23069108,0.114086683,-4.156420726,-4.126716409
3.91943,4.9438,1.261356881,421.057,0.46968,0.291739392,12.29675924,0.10529801,-4.258403459,-4.281295199
4.08689,4.75983,1.164658212,427.97,0.50594,0.326311852,16.00638456,0.404674617,-4.435585442,-4.545871686
5.06381,7.08528,1.399199417,939.267,0.5264,0.473057982,13.02490791,0.436589168,-3.491299701,-3.620353467
13.69556,13.96867,1.019941499,1519.32,0.68178,0.791265877,13.6377037,0.431334562,-3.03620859,-3.02319712
7.69493,9.54888,1.240931366,1932.37,0.6774,0.781542942,9.366015891,0.314914598,-3.766723481,-3.837062577
7.73922,9.60606,1.241218107,1897.81,0.677,0.782209528,9.171464208,0.306048104,-3.696568216,-3.709381499
4.20115,4.7399,1.128238697,246.312,0.39348,0.22381616,17.72439371,0.388430967,-3.353000121,-3.584052424
7.17951,9.42302,1.3124879,4347,0.78436,1.410151306,7.441676436,0.400229924,-3.323020943,-3.358437655
4.68679,4.84155,1.033020468,444.782,0.46642,0.332092076,15.77701022,0.267450726,-4.516576882,-4.731324704
4.57423,4.8139,1.052395704,437.041,0.4677,0.332951285,15.91417747,0.300088637,-4.415355778,-4.718245798
4.26622,4.77305,1.118800718,588.744,0.4922,0.367895476,15.86393029,0.23488057,-4.1599371,-4.211345502
19.54,37.53,1.920675537,6207.17,0.93,5.8125,3.2261066,0.440237528,-2.786629926,-2.817484725
3.64311,5.44587,1.494840946,266.702,0.5475,0.418875806,16.75357543,0.70985179,-4.334030075,-4.584231316
3.91316,4.51878,1.154764947,251.96,0.47356,0.391397778,17.33561609,0.309612585,-3.528596365,-3.742552833
4.98141,8.08398,1.622829681,1687.67,0.61126,0.667867078,11.48103689,0.357521778,-3.625325822,-3.623050688
4.88927,8.10638,1.657993934,1730.84,0.60644,0.671822431,11.73409751,0.378837355,-3.646496661,-3.684972448
4.97897,7.89565,1.585799874,1727.98,0.60914,0.671399552,11.56063224,0.353271787,-3.648238186,-3.69558245
6.22752,7.54994,1.212350984,2625.77,0.71052,0.886758897,8.954758545,0.399388027,-3.343059453,-3.437513071
