Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
1.241,0.225,4.4641,7.3373,1275.03,0.5942,0.504988697,16.88636195,-0.414539838
1.306,0.166,5.38961,7.62039,483.849,0.48832,0.292373922,17.43517179,0.088135037
1.33,0.104,27.19689,29.1642,6966.92,0.95272,8.40237417,3.03944206,1.322202923
1.306,0.166,15.19156,21.27737,5719.67,0.9017,3.724370942,5.152498914,0.088134411
1.22,0.25,12.94636,16.07409,5350.76,0.864,2.756789871,7.45620022,3.668816716
1.09,0.26,21.13072,22.64021,4684.38,0.8635,2.951228682,6.791547555,2.339687259
1.306,0.166,4.70155,9.77543,2267.35,0.66778,0.787203493,18.66144853,0.088135346
0.965,0.314,4.04035,10.661,1677.69,0.62342,0.668194368,15.24224673,4.086440109
1.44,0.2104,10.57638,19.38142,5576.78,0.8833,2.8661356,5.112210378,0.991211104
0.75,0.29,15.37754,17.8671,5548.64,0.86986,3.233944784,7.078624832,4.041457778
0.75,0.29,7.41946,8.13654,1329.86,0.65856,0.532906076,13.46936328,4.039489733
1.241,0.225,19.54856,23.62625,6865.99,0.90926,4.986071507,5.193881285,-0.41453972
0.75,0.29,4.79223,6.23329,1928.01,0.63598,0.664900513,16.3157766,4.047633103
1.22,0.25,4.20957,5.3531,1070.75,0.58134,0.537322538,20.15834609,3.636171131
1.306,0.166,28.93206,31.95037,2867.49,0.87626,2.129123649,7.673532845,0.088134569
1.33,0.104,4.44781,6.86807,971.089,0.60056,0.389397515,10.18619203,1.322112428
1.09,0.26,18.43897,22.89227,6116.59,0.92136,4.864137177,4.019924672,2.33973148
1.22,0.25,5.71739,7.53203,1476.24,0.61164,0.612649647,16.51083643,3.66971072
1.306,0.166,4.33786,8.62906,1330.97,0.64206,0.501480087,12.87588444,0.088134519
0.965,0.314,3.851,4.74764,375.928,0.5425,0.452626485,18.66949943,4.05046632
1.306,0.166,16.70577,20.05185,5415.18,0.89916,3.231610234,4.351741136,0.088134552
1.44,0.2104,24.20367,27.00561,6372.64,0.9178,4.797399013,4.413329722,0.99121706
1.418,0.152,19.97947,25.73187,5607.2,0.92996,5.18678818,4.297280186,0.118098206
1.306,0.166,17.52803,22.00755,5070.33,0.90584,3.468378955,4.644918658,0.08813469
1.241,0.225,5.57745,6.73617,1558.49,0.64406,0.526653202,12.58226453,-0.414539654
1.418,0.152,4.66172,5.75292,347.817,0.4715,0.365864068,20.65742299,0.118097746
1.44,0.2104,14.17121,18.62105,5560.76,0.8917,3.238635538,5.046096742,0.991216503
1.33,0.104,26.35554,28.48861,2704.4,0.8356,1.745028673,9.987020133,1.322188317
1.241,0.225,24.79685,27.33761,6808.72,0.92674,5.496678529,3.880723986,-0.414539699
0.965,0.314,4.34847,4.67043,274.72,0.50016,0.394525735,23.64774425,4.094504698
0.75,0.29,29.7281,33.99097,4722,0.95378,6.874833315,3.414344152,4.050164057
1.241,0.225,7.3846,9.12367,3821.55,0.77072,1.282630764,13.9398835,-0.414539685
1.418,0.152,10.71493,12.06861,3211.29,0.78238,1.303137003,10.2545034,0.11809743
0.75,0.29,5.43307,6.88574,2564.42,0.69694,0.745439805,13.19824107,4.053367192
1.306,0.166,8.89146,13.27914,2632.02,0.75028,1.074591808,9.823348328,0.088134498
1.09,0.26,14.23302,18.95216,4733.33,0.8659,2.592755615,7.337979458,2.339756111
1.22,0.25,14.25183,17.18833,5313.44,0.88208,2.810371305,5.442618509,3.668043304
1.33,0.104,22.00272,24.18512,5956.84,0.92148,4.719826262,3.996178382,1.322198933
