PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst H2,N1bar_H2,log_D0_H2,log_D1bar_H2
6.45442,6.88379,1.066523406,867.384,0.5708,0.352076189,4.441538564,0.03250409,-2.54071849,-2.499243382
10.76844,25.42698,2.361250098,2429.07,0.83658,1.279013946,1.707941007,0.06849853,-2.38722177,-2.374831886
5.68454,5.83174,1.025894795,345.079,0.41258,0.271671923,4.938942074,0.013480041,-2.572534294,-2.683139299
5.25081,7.26399,1.383403703,1762.91,0.59932,0.621823803,4.213901497,0.053602589,-2.788332683,-2.75991469
5.5873,6.57451,1.176688204,1582.38,0.60734,0.646685648,4.353393843,0.054480689,-3.126637518,-3.208492212
6.93274,11.69294,1.686626067,2124.14,0.69224,0.973746104,4.127638543,0.072801736,-3.04344975,-3.066626298
7.39815,11.84006,1.60040821,2048.29,0.70204,0.953172308,3.963577626,0.068643335,-2.984428638,-2.966937017
7.36492,11.84801,1.608708581,2067.8,0.70488,0.961580699,3.960316225,0.069424047,-3.02154135,-3.016397899
6.70311,11.79938,1.760284405,2122.86,0.70388,0.958588456,3.916510794,0.067369212,-3.032227662,-3.048640468
7.13512,11.94166,1.673645293,2232.87,0.71434,1.007329985,3.776810912,0.071514794,-2.996897175,-3.029563162
6.91892,12.04076,1.740265822,2134.58,0.70596,0.967361352,3.90903156,0.069044621,-3.030023177,-3.095402364
4.52481,10.64181,2.351879968,2211.32,0.67086,0.750713382,3.811570298,0.057189528,-2.834415632,-2.696124185
7.28684,8.54501,1.172663322,1113.55,0.59522,0.600661998,4.137378798,0.040804061,-2.941118322,-2.836781082
4.40002,8.03493,1.826112154,573.552,0.48206,0.419649697,5.65570846,0.027200795,-3.052985545,-2.939248834
4.27216,9.42427,2.205973091,1474.96,0.61826,0.629302369,3.706179453,0.046263819,-3.259328937,-3.270688537
4.5072,7.01648,1.556727015,804.887,0.5435,0.512571439,4.544683937,0.028104263,-3.080263451,-3.177080896
10.50387,10.88001,1.035809659,981.784,0.59548,0.498831414,4.360416607,0.03757181,-2.268520218,-2.319202666
5.9875,6.82031,1.139091441,825.578,0.5077,0.432210171,4.705451826,0.030874013,-2.855653262,-2.9134916
6.12106,6.83308,1.11632299,793.258,0.50646,0.425850718,4.820708498,0.032474045,-2.79093412,-2.753179178
8.80996,17.2872,1.962233654,4741.45,0.84252,2.197547673,1.843500669,0.127320823,-2.437926093,-2.470257667
5.62993,8.06476,1.432479622,2869.72,0.70336,0.938611779,3.597826342,0.063745732,-2.919143674,-2.942486439
8.65235,9.6188,1.111697978,2701.78,0.67854,0.903923342,3.789186449,0.071241763,-2.738068416,-2.696573199
3.94175,6.41608,1.627723727,692.797,0.58084,0.345557089,4.66873565,0.026773097,-3.265107701,-3.385219212
4.3641,6.81111,1.560713549,1052.63,0.61502,0.409800237,4.154925405,0.030339803,-3.043998703,-2.951935488
4.2994,7.85983,1.828122529,896.656,0.6021,0.572817566,4.712756328,0.049441207,-3.386206809,-3.350185587
7.33698,11.74827,1.601240565,1972.76,0.71176,0.738493463,2.861602327,0.049709826,-2.687860245,-2.728223001
11.51164,12.50781,1.086535889,1917.32,0.73012,0.811359838,2.718811598,0.050721294,-2.601475838,-2.672427324
11.17828,12.20276,1.091649162,1798.43,0.71436,0.764480078,2.795030613,0.048406544,-2.58644067,-2.573494564
6.87343,12.16451,1.769787428,2800.76,0.71512,0.923003453,3.204821545,0.066112513,-2.74517197,-2.736746899
5.4451,6.31092,1.159009017,645.76,0.49582,0.445232665,4.084422711,0.019233072,-3.239708979,-3.404442426
4.93668,5.48228,1.11051962,785.597,0.53086,0.447990683,5.631531018,0.037728678,-2.609104822,-2.478476726
4.89759,5.65614,1.154882299,913.914,0.55704,0.500444708,5.330052059,0.039842514,-2.503487339,-2.614458642
4.51467,5.44142,1.205275247,500.175,0.5001,0.275040148,5.454231349,0.024070347,-2.445554783,-2.475915292
4.88169,5.99991,1.229064115,1468.41,0.61502,0.556765614,4.445936875,0.0463499,-3.190437779,-3.120499349
4.20229,5.16583,1.229289268,602.813,0.51252,0.439463575,5.945334666,0.030637224,-3.309064527,-3.283928167
5.24025,7.13491,1.361559086,1971.32,0.64884,0.674984864,3.881956679,0.047853613,-2.848856872,-2.773457166
6.30914,7.54763,1.196300922,1344.47,0.61346,0.603359758,4.010580846,0.04117466,-2.84855103,-3.004995745
5.41267,6.44764,1.19121247,2206.57,0.63174,0.687438315,4.241281991,0.060629438,-2.915781858,-3.005668286
