PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CH4,log_P_0(CH4),log_P(CH4)
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,12.3193215,-8.365485406,5.830451248
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,21.20844735,-9.041195703,4.511801945
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,17.23670005,-8.068039643,6.109398706
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,19.60474188,-7.748451508,6.257277463
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,12.59807281,-8.868785999,5.535117723
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,12.22567401,-8.664170047,5.643118974
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,23.39597054,-7.649766591,5.62372328
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,10.13695285,-8.295511133,5.888998522
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,20.64539678,-9.825332086,4.056574875
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,20.50340002,-9.656908749,3.910871792
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,19.61308293,-9.776788064,4.620579574
19.54,37.53,6207.17,0.93,0.16,5.8125,5.049085291,-8.054631527,5.630043297
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,15.75645353,-8.628232593,5.623305449
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,16.0886173,-8.711531019,5.59590022
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,15.84204573,-8.698216164,5.585996924
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,11.8886518,-8.246715689,6.040759338
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,13.83622464,-8.731982582,5.655433478
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,16.34916838,-8.071115192,6.184066865
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,15.45053418,-8.470937719,5.912336946
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,15.2946252,-8.157876084,6.16855393
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,9.649126234,-8.818159788,5.452247657
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,17.53274198,-7.818124032,6.027880444
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,16.43815468,-8.635024387,5.850205727
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,14.86359794,-8.168347751,5.913766529
