Polymer density,FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CO2,log_P(MMM) - CO2
1.22,0.25,41.32298,44.64291,5056.25,0.95838,9.353699004,12.94828605,4.372517566
1.22,0.25,15.71712,17.89798,5114.94,0.85624,2.454506886,12.39879669,4.350485216
1.09,0.26,15.42651,20.67704,5315.71,0.89374,3.353507761,13.91004524,3.598431038
1.418,0.152,8.51817,10.78941,3526.69,0.74752,1.29016001,18.56714912,1.896021349
1.09,0.26,9.61757,16.88687,4578.82,0.82348,1.982841443,17.47170177,3.598816653
1.241,0.225,10.83458,11.54579,1268.2,0.6411,0.544819498,20.98877115,1.197276089
1.306,0.166,13.81107,14.72034,873.984,0.62692,0.506013205,31.93294887,1.382847823
0.965,0.314,9.18226,18.73018,3247.92,0.81648,1.459610785,12.57760102,4.869775816
1.386,0.1057,3.9387,8.06664,1293.09,0.62486,0.538913996,27.00568796,-3.024456616
1.306,0.166,10.83826,17.26891,3534.01,0.80844,1.668462177,14.20109365,1.382880842
1.241,0.225,4.53621,5.40564,976.915,0.5452,0.408677271,40.61716319,1.197227623
1.09,0.26,4.30122,4.60907,281.671,0.39598,0.200400822,27.61542307,3.595291266
1.311,0.149,9.34243,13.13066,4302.86,0.80196,1.708726445,18.47181225,0.604758479
1.386,0.1057,3.65124,4.61976,470.375,0.5047,0.424156855,28.1845071,-3.024456621
1.306,0.166,3.80214,5.49154,196.459,0.44942,0.263317631,29.38010275,1.382823842
1.241,0.225,4.82644,6.32321,800.893,0.55948,0.377290291,37.47003331,1.197109161
1.418,0.152,7.61097,8.52736,2223.03,0.66938,0.790465011,20.82118213,1.896197127
1.386,0.1057,3.74803,7.59472,1303.11,0.63304,0.56756054,18.97986594,-3.024456616
0.965,0.314,16.57012,20.81989,5784.94,0.90114,3.671274398,10.07029322,4.860072711
1.241,0.225,25.93199,30.20686,5857.1,0.92284,4.966471848,8.101977426,1.197257485
0.75,0.29,11.03397,14.71635,4488.7,0.82498,1.980901248,19.09590134,4.656465871
1.418,0.152,18.77134,21.03291,5422.71,0.89192,3.382289925,9.986586386,1.896142218
1.09,0.26,4.31562,12.82817,1892.47,0.67744,0.779682943,23.10381139,3.601064205
0.75,0.29,30.32085,31.22149,3444.35,0.87546,2.48080863,12.62286832,4.64317298
1.44,0.2104,38.22279,40.51292,4276.17,0.92906,4.794975149,48.49249377,2.521503913
0.965,0.314,34.80957,41.21094,6307.2,0.9578,9.41937768,7.797159222,4.906986089
1.09,0.26,5.98917,13.02556,5129.83,0.80308,1.694840853,13.37482258,3.601999154
1.311,0.149,11.09413,12.81085,4349.9,0.84708,1.87242621,9.697072498,0.604760291
1.386,0.1057,18.44256,21.72889,5331.34,0.87842,2.951908246,11.03507514,-3.024456616
1.386,0.1057,5.75458,7.36646,1405.71,0.59344,0.551549793,17.76975221,-3.024456616
1.33,0.403,16.67501,20.1216,5714.73,0.91038,4.052437124,9.317784912,-0.876148534
1.33,0.403,29.78402,31.90316,3441.82,0.87012,2.483991881,22.89267544,-0.87614855
1.33,0.104,3.97105,5.13693,821.636,0.56084,0.571054451,26.59186255,2.759664709
0.75,0.29,3.75106,4.54619,1029.16,0.5766,0.509760238,23.74520469,4.674559157
1.418,0.152,14.77835,20.03417,4435.97,0.86852,2.410031717,20.67277073,1.896141613
0.75,0.29,8.44499,15.23835,4044.42,0.81326,1.633826472,29.85970083,4.657069347
1.33,0.104,8.43938,11.4181,3086.27,0.7373,1.060706111,22.95148171,2.761218416
1.44,0.2104,15.76311,20.57743,5435.75,0.9049,3.631861163,9.644718732,2.521365638
1.386,0.1057,15.32621,17.92894,5030.64,0.86432,2.450428383,14.4011135,-3.024456617
