Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst N2,log_P(MMM)_N2
1.241,0.225,13.7003,17.36806,4215.16,0.82274,1.887819373,7.161779062,-0.359023824
1.306,0.166,10.57918,14.80707,5142.45,0.82912,2.030723411,8.448726988,-0.279841581
1.241,0.225,4.07958,6.88524,1285.3,0.62358,0.525084626,12.23542065,-0.35902327
1.22,0.25,21.7191,22.96283,5070.89,0.8732,3.196485769,4.800640054,3.23967272
1.33,0.104,12.95968,21.65502,5690.72,0.89322,3.327447474,3.630879469,1.202047691
1.418,0.152,10.88298,11.69077,1217.22,0.66136,0.539221042,8.926148898,0.346840337
1.44,0.2104,24.10901,30.1163,6449.21,0.94218,7.603376481,3.918282217,1.106346983
0.965,0.314,14.05074,17.64079,5484.56,0.87234,2.623681527,5.750001337,3.783005603
1.22,0.25,35.88565,39.37048,5714.21,0.96276,10.13606559,3.689224626,3.241985965
0.75,0.29,5.16773,6.83937,2354.35,0.64882,0.770554514,10.14497396,3.66644222
1.09,0.26,5.94328,8.66526,1518.27,0.60202,0.596331002,10.81373479,2.206376663
1.44,0.2104,14.86093,19.81698,4157.79,0.87194,2.351110788,4.283883009,1.106335699
1.44,0.2104,10.23297,10.35764,1390.52,0.65554,0.733276882,9.324788008,1.106326644
1.241,0.225,7.49345,7.99802,1365.52,0.66716,0.543431513,10.79714153,-0.359023507
1.22,0.25,6.15217,12.20585,2577.21,0.70956,0.894278613,8.356557718,3.23719178
1.241,0.225,15.74857,22.04718,5643.18,0.90168,3.944408719,3.615264711,-0.35902246
1.306,0.166,14.13376,27.66171,4769.85,0.89092,2.972448169,3.684296163,-0.279841703
1.44,0.2104,4.18889,6.51947,1345.22,0.63434,0.585838436,11.40735227,1.106326269
1.306,0.166,3.85731,7.32616,1194.09,0.59822,0.535200179,10.77342309,-0.279847154
1.33,0.104,11.23461,11.80999,791.305,0.69846,0.824138676,9.643115469,1.201979613
1.22,0.25,5.38954,5.90692,1169.95,0.57766,0.584802189,13.08854204,3.241404207
1.09,0.26,21.54003,26.94123,6479.63,0.92718,5.892019674,4.711490452,2.206617133
1.33,0.104,14.24308,19.56082,4408.36,0.85688,2.319214009,7.244126413,1.202038861
1.09,0.26,23.05079,28.59644,5504.76,0.92316,4.542417249,3.198161329,2.206606495
1.33,0.104,19.12258,21.67977,4521.58,0.88202,2.829154384,4.678835439,1.202057786
1.33,0.104,20.0712,24.71814,5243.74,0.8967,3.964769396,6.024211307,1.202053974
0.75,0.29,28.83607,30.84377,5290.58,0.90654,4.296805384,5.874428708,3.669377934
1.241,0.225,4.68882,6.98697,1090.65,0.57676,0.561706272,13.99119188,-0.359022788
0.75,0.29,31.51019,37.43248,4993.61,0.9436,7.122369494,2.898244888,3.672093967
1.09,0.26,5.41267,6.44764,2206.57,0.63174,0.687438315,11.36737338,2.206617014
1.418,0.152,15.84638,18.45379,3785.4,0.84016,2.057067865,5.119770054,0.346838096
1.33,0.104,9.92334,10.34811,998.311,0.57372,0.536452635,9.562721513,1.20206294
1.09,0.26,15.47827,20.89773,5086.6,0.8724,2.886915891,4.892827408,2.206538937
0.75,0.29,4.31073,5.25592,1201.37,0.60346,0.469468885,12.39102201,3.665500092
0.75,0.29,5.34538,5.86305,745.164,0.5026,0.395452221,14.28765385,3.671800599
0.965,0.314,10.27695,15.10836,3938.58,0.82492,1.61319467,4.247276534,3.777037193
0.75,0.29,9.68104,13.47437,4962.01,0.8252,2.025781332,5.98691727,3.668120226
