PLD,LCD,ASA,Porosity,Density,Pore volume,Qst N2,log_P_0(N2),log_P(N2)
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,13.13196244,-8.645476159,5.609357477
4.38571,5.73292,719.362,0.52164,1.22616,0.425425719,15.32460942,-8.955085233,5.340293245
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,12.18825756,-9.00377226,5.463642207
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,11.43087717,-8.755584911,5.605991352
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,12.34160917,-9.389467125,4.923690947
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,12.28811679,-9.37613752,4.883564196
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,12.36036245,-9.404920614,4.951056301
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,12.39674515,-9.447939971,4.916538615
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,12.16495526,-9.443353804,4.857632619
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,12.22958051,-9.436605935,4.793080757
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,10.94924976,-9.020202069,5.337573012
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,10.53340365,-9.407861333,5.022612587
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,15.3134373,-9.468697203,5.017727677
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,12.00814814,-9.608416454,4.915822871
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,11.66873099,-9.505334722,4.941074071
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,13.34595985,-8.296379504,5.941110577
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,12.07278905,-8.95789874,5.346705365
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,12.38500129,-8.908741431,5.433300041
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,5.56501517,-8.717740192,5.336000714
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,10.87851194,-9.09577818,5.238227527
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,11.09795769,-8.962261712,5.375091387
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,12.22400163,-9.853368893,4.860050114
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,10.88757894,-9.571842989,4.986171751
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,12.82300198,-9.74480695,4.79407627
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,8.003694156,-9.106525394,5.327778372
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,9.981660609,-9.084769254,5.290700806
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,10.01837737,-9.105175897,5.294132596
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,9.273528598,-9.046294507,5.279069201
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,11.18273916,-9.896400778,4.569530206
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,15.21295441,-8.389101361,5.92976096
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,14.23525063,-8.452120064,5.828508164
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,15.68024269,-8.476563998,5.959575968
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,11.56802312,-9.646802551,4.799580871
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,15.83777666,-9.3744158,4.764004449
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,10.7171624,-9.36842255,5.131036458
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,10.28657776,-8.951350744,5.495788136
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,11.36737338,-8.898672581,5.487514092
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,12.40215696,-8.742625635,5.586986767
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,11.51212782,-9.068561878,5.343508613
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,11.68290158,-8.524444081,5.821517383
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,11.10747018,-9.111072562,5.435411522
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,11.36368975,-9.14084048,5.310227069
9.30306,11.01739,1290,0.65364,1.02953,0.63489165,9.55100339,-9.330813626,5.186489889
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,7.787610733,-9.409746292,4.98069885
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,8.198229881,-8.736537711,5.669598991
5.30289,5.4946,1395.72,0.6127,0.925783,0.661818158,14.5131172,-8.573989378,5.540742684
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,13.6164971,-9.132401676,5.230135274
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,7.425335182,-9.105836811,5.217174036
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,14.5404445,-9.063412527,5.461227729
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,4.918657527,-8.665306793,5.375678589
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,10.71832301,-9.029932939,5.278467954
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,21.30477992,-6.882586725,6.904342299
31.49051,33.05863,2906.63,0.83208,0.462445,1.799305863,7.76024629,-8.73279547,5.446093347
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,10.79251489,-9.788038989,5.000963566
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,13.85906567,-9.564537362,4.807755397
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,9.032191109,-9.126714609,5.224553054
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,9.324788008,-9.122654114,5.172277709
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,7.962640618,-9.210376168,5.259742488
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,7.930037388,-9.182562887,5.145187261
