PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst N2,N1bar_N2
5.37167,7.3314,1146.88,0.55594,1.01683,0.546738393,51.11111111,35.55555556,2.222222222,8.888888889,0,2.222222222,13.00395057,0.349594982
5.08524,7.14066,876.407,0.5421,1.32285,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,5.128205128,2.564102564,12.80645478,0.258094632
4.52097,6.3306,965.88,0.55848,1.12223,0.497651996,35.29411765,35.29411765,23.52941176,0,0,5.882352941,13.34085582,0.284323451
4.7481,6.43864,1003.43,0.5662,1.12574,0.502958054,35.29411765,35.29411765,23.52941176,0,0,5.882352941,13.41470539,0.28010633
6.81408,8.80212,1422.51,0.62122,1.05969,0.586228048,52.5,30,0,15,0,2.5,14.28701681,0.495634752
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,52.5,30,0,15,0,2.5,14.51344881,0.526964296
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,52.5,30,0,15,0,2.5,14.39559463,0.478471358
5.81418,5.92566,308.504,0.4119,1.68224,0.244852102,31.57894737,21.05263158,0,42.10526316,0,5.263157895,12.39572533,0.125157251
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,40,32,24,0,0,4,9.133179711,0.301870013
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,12.15217465,0.366890167
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,15.85023711,0.642740887
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,47.36842105,15.78947368,0,31.57894737,0,5.263157895,13.07629561,0.418090725
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,34.375,12.5,12.5,34.375,0,6.25,11.71487522,0.175251614
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,45,15,0,31.66666667,0,8.333333333,9.489448137,0.294764546
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,0,2.654867257,8.845443949,0.318434286
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,45.45454545,13.63636364,0,36.36363636,0,4.545454545,12.1429656,0.281836961
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,47.61904762,9.523809524,0,38.0952381,0,4.761904762,9.240995506,0.27619934
