PLD,LCD,ASA,Porosity,Density,Pore volume,Qst H2,log_P_0(H2),log_P(H2)
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,5.777124925,-10.19381021,4.343289471
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,3.727095319,-8.9930633,5.317155347
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,3.445217522,-8.945581067,5.403186526
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,2.744141829,-8.666242209,5.586584651
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,3.243345805,-8.608567495,5.728525055
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,5.215486643,-9.268036619,5.230371788
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,4.476901814,-9.223605553,5.160683161
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,5.64164955,-9.219620023,5.249437274
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,5.734633455,-9.936166377,4.66199853
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,4.150908217,-9.204382853,5.542203017
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,4.190555397,-9.216778539,5.318443456
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,3.691743721,-8.982205033,5.355485355
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,3.309517365,-8.882945486,5.58233323
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,3.293435259,-9.416683835,5.051235221
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,3.135818864,-8.648642379,5.720466353
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,3.138440827,-8.543531012,5.689371115
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,3.287297202,-9.378118059,4.988120791
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,3.12871225,-8.706541545,5.691436622
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,4.204582757,-9.040001019,5.49545025
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,6.844010502,-8.923611389,5.578206032
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,7.10747885,-8.926252848,5.568118364
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,6.876084744,-8.985354867,5.454287154
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,3.5963311,-9.122472768,5.314814185
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,4.766620986,-9.270305952,5.466959325
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,4.996460518,-9.545009264,5.064774333
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,3.433067359,-9.013287209,5.368559933
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,4.207633677,-9.161570897,5.329280619
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,3.838145304,-9.288163784,5.161627804
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,5.106187995,-9.902297537,4.656902971
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,3.921080051,-9.091601585,5.566542795
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,3.515369196,-8.963249612,5.46512098
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,3.612865067,-8.98222581,5.496545594
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,3.425745015,-8.781948379,5.542776493
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,3.560250755,-8.799330802,5.596688173
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,3.039853266,-8.727347889,5.627653331
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,6.106102977,-9.709773297,4.987839584
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,5.071258615,-8.94264089,5.633299111
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,3.73081195,-8.306393216,6.145478497
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,3.515513547,-9.209454713,5.277316456
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,3.467331366,-9.196178191,5.334826352
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,6.782494793,-9.39703092,5.212898995
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,2.683865371,-8.569900684,5.742133721
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,5.60410879,-10.24478758,4.331888659
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,5.697581905,-10.21946373,4.457244043
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,5.528201101,-9.813235071,4.76869158
19.54,37.53,6207.17,0.93,0.16,5.8125,0.864114211,-7.513707944,6.1613011
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,4.095406268,-9.15692442,5.289299159
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,4.14530893,-9.171359846,5.162932322
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,4.16471899,-9.183082957,5.350059294
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,3.438142044,-8.854259596,5.47174814
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,3.940789078,-9.311565536,5.169305921
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,4.723181169,-8.877822729,5.550988591
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,4.432538248,-9.028125912,5.554335445
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,4.441538564,-9.029890744,5.697886227
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,1.707941007,-8.550258712,5.75182585
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,4.938942074,-9.441943242,5.103359622
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,4.213901497,-9.057560094,5.42860679
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,4.353393843,-9.387545615,4.975833326
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,4.127638543,-9.181011252,5.122670679
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,3.963577626,-9.147500982,5.212196084
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,3.960316225,-9.179703418,5.165585765
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,3.916510794,-9.195074367,5.12103172
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,3.776810912,-9.14423728,5.150910225
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,3.90903156,-9.191482608,5.082263134
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,3.811570298,-9.074131149,5.487694351
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,4.137378798,-9.325994531,5.245313955
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,5.65570846,-9.614552377,5.030891226
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,3.706179453,-9.590901084,4.862209013
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,4.544683937,-9.634902147,4.772480737
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,4.360416607,-8.686234081,5.80791712
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,4.705451826,-9.357087721,5.12135795
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,4.820708498,-9.281866075,5.308989266
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,1.843500669,-8.333234174,5.693627971
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,3.597826342,-9.104517901,5.212000624
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,3.789186449,-8.884459018,5.506949597
