PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CO2,log_P_0(CO2),log_P(CO2)
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,29.14560644,-7.39832267,5.25467191
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,28.44953392,-7.290863718,5.376947248
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,43.97333561,-7.293224435,4.942149683
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,20.46474644,-8.624589999,5.689746706
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,28.2198386,-8.49404168,4.182332083
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,22.87648306,-8.739866909,5.552937654
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,18.01816608,-8.215117329,6.045349558
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,23.68457453,-8.182131323,5.882285603
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,21.11894335,-7.886180068,5.904530353
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,24.97359231,-8.359714933,5.830489133
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,19.57000374,-7.747127417,6.075531812
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,20.38100008,-8.43957721,5.897720912
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,21.14503592,-8.450836149,5.871167849
9.30306,11.01739,1290,0.65364,1.02953,0.63489165,20.31605776,-9.302014714,5.002785036
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,14.40003859,-8.989218043,5.470145838
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,16.18584487,-8.399808654,6.189001744
5.30289,5.4946,1395.72,0.6127,0.925783,0.661818158,23.90859903,-8.006036163,5.15216278
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,23.25499855,-8.185535964,5.495866348
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,15.29303207,-8.794592991,5.489337403
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,30.00262048,-7.842661152,4.321517486
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,10.65147772,-8.488020072,5.485606538
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,25.410097,-8.182866565,5.719428264
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,33.76697388,-5.71873172,5.925429596
31.49051,33.05863,2906.63,0.83208,0.462445,1.799305863,22.27917906,-8.436363354,5.619612909
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,25.44751687,-8.961108326,4.473458319
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,23.68095481,-8.441663177,5.229889486
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,15.88927139,-8.590046208,5.736501412
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,15.87578807,-8.649172666,5.781069695
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,16.45658304,-8.820852682,5.67401717
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,16.29612818,-8.815250431,5.667888089
10.19883,10.32219,1419.53,0.65654,0.893387,0.734888688,15.85505171,-8.684311823,5.696437243
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,15.42929318,-8.658965866,5.728214453
10.2098,10.32563,921.145,0.6122,1.16569,0.52518251,14.94057429,-8.662957905,5.810335886
9.78954,9.9082,1055.67,0.6064,1.03173,0.587750671,16.34898464,-8.842210482,5.64243152
9.63706,9.77409,1141.74,0.59722,0.990438,0.60298575,18.81529856,-8.451226406,5.924210646
9.89092,10.03622,1208.74,0.6104,0.960732,0.63534888,18.54421091,-8.438615754,5.944783289
5.16047,6.75364,2935.51,0.6548,0.798706,0.819826069,21.35439508,-7.883600042,6.000653573
5.02845,6.64209,2823.58,0.65108,0.808218,0.805574734,21.58590158,-7.798017274,5.983349617
