PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CH4,N1bar_CH4,log_D0_CH4,log_D1bar_CH4
4.38484,5.04792,1.151221025,636.56,0.50342,0.385830453,20.10442384,1.642053999,-3.655938954,-4.182020245
14.56862,19.86541,1.363575273,5239.13,0.8979,3.268954219,6.885394042,0.564231448,-3.117623514,-3.14012033
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,11.213642,0.82208075,-3.432828228,-3.472611459
5.01976,7.8603,1.565871675,1901.19,0.63848,0.651621246,13.3595706,0.826750993,-3.65436587,-3.689870556
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,7.503938608,0.399314665,-3.257903581,-3.234514748
6.0951,6.93247,1.137384128,581.981,0.45062,0.308821514,17.59587344,1.112397227,-3.170477402,-3.63870953
9.17864,11.03089,1.201800049,1154.62,0.60242,0.597959224,20.54362744,1.147393736,-3.739731783,-3.660574333
11.07263,11.39418,1.029040074,1175.97,0.6096,0.620543281,20.35009374,1.094529335,-3.504229046,-3.646441655
9.50667,11.07211,1.164667544,1172.55,0.60696,0.613756742,20.52417869,1.117126141,-3.819536187,-3.688904094
10.87494,11.21563,1.031327989,1159.15,0.60852,0.617172136,20.71383914,1.098048961,-3.531476868,-3.625063539
4.48972,4.82905,1.075579323,521.72,0.46842,0.40045481,21.16593827,1.507629585,-3.186962541,-3.965019123
8.78636,9.98598,1.136532079,3028.97,0.7058,0.914761777,13.97169147,1.138396289,-3.474708296,-3.517154375
6.10595,6.92762,1.13456874,1008.65,0.59186,0.411511132,14.58160238,0.830251748,-3.342192337,-3.551492007
4.44244,5.09322,1.146491568,299.59,0.40752,0.271714417,19.53745058,0.617262521,-4.370294114,-5.097511506
4.98752,7.28969,1.461586119,2849.13,0.69504,0.833652182,13.45058855,1.29964607,-3.632256907,-3.641222969
5.88473,7.80429,1.326193385,2759.46,0.70156,0.876048765,12.71584951,1.101035879,-3.614319001,-3.627787376
7.08849,11.39005,1.606837281,4048.27,0.7795,1.333230711,10.65578837,0.881083584,-3.437050572,-3.485743393
7.02092,8.26528,1.177236032,3489.57,0.744,1.093538715,12.52878025,1.265528084,-3.286032424,-3.369927899
4.07573,5.65344,1.387098753,1053.2,0.62164,0.617153296,17.61597746,1.84151555,-4.475371979,-4.795611135
11.06312,12.00094,1.084769938,993.47,0.5942,0.615459829,28.00587815,1.375928694,-5.14604791,-4.887179871
4.06272,5.40727,1.330948232,791.432,0.50734,0.38716127,20.46845522,1.850731142,-4.068640538,-4.108184144
3.80274,4.93858,1.298689892,458.737,0.48374,0.323396688,20.33440286,1.092019573,-4.518828941,-4.894703168
5.37606,5.6853,1.057521679,1420.93,0.60772,0.564863785,14.50180777,1.168480428,-3.061371389,-3.499807804
5.13016,6.30636,1.229271602,1365.99,0.6208,0.564071345,14.77043583,1.242820714,-3.13173284,-3.402682027
6.30843,7.60741,1.205911772,2136.04,0.66196,0.76818991,13.20037172,1.164766683,-3.476726575,-3.549195757
9.80847,15.56875,1.587276099,1591.32,0.71824,0.924093938,15.69194526,1.254839102,-3.929344489,-3.767743721
5.59471,9.38154,1.676859033,1604.12,0.68288,0.65523561,11.91640232,0.521776965,-3.86455496,-3.925176012
10.59979,11.41407,1.07682039,1224.38,0.64844,0.540497287,11.39239068,0.520105467,-3.096785751,-3.206641567
10.7235,11.51533,1.07384063,1224.91,0.65144,0.543410077,11.35852234,0.527076556,-2.985404134,-3.095323161
5.62446,9.38408,1.668441059,1646.23,0.68264,0.656649801,11.86661856,0.515243065,-3.930980665,-3.898343348
10.54479,11.3608,1.077385135,1223.85,0.64786,0.5401399,11.38045344,0.505276854,-3.219641757,-3.253632424
5.3868,5.98273,1.110627831,1847.56,0.6472,0.547657731,14.26140761,1.126024831,-3.498707735,-3.62939755
4.26368,5.82193,1.365470673,729.385,0.50118,0.429835846,23.25848028,3.012094503,-3.55533033,-4.222486658
4.05664,5.44423,1.342054015,634.137,0.49082,0.409200807,24.0452093,2.984820957,-3.684844771,-4.39744807
4.25745,5.78749,1.359379441,712.146,0.50502,0.425889695,23.36314997,2.954254751,-3.657621536,-4.268570563
5.15676,8.28593,1.606809314,2399.39,0.68804,0.803629203,14.14636694,1.080022759,-3.790645676,-3.786350381
5.0837,6.42024,1.262906938,468.517,0.45748,0.257256931,16.52438356,0.669353612,-3.156155157,-3.696839571
4.61254,5.76705,1.2502981,732.709,0.51364,0.337698882,17.38060302,1.069192481,-3.690371766,-3.992898706
7.73483,9.7655,1.262535828,2462.86,0.6857,0.942650502,14.91196548,1.221628213,-3.821117289,-3.843703091
4.32918,9.00116,2.079183587,2201.56,0.67476,0.751965836,16.21381086,1.664466752,-4.164358182,-4.020325168
5.9183,9.52144,1.608813342,2338.43,0.67852,0.81880011,15.06161135,1.254388091,-4.046244484,-4.063622832
4.73321,7.16113,1.512954211,802.611,0.52734,0.458217839,17.93493847,1.020596372,-4.622950843,-4.62363164
5.70377,6.40025,1.122108711,1486.93,0.63598,0.523405866,13.52648531,0.983092633,-3.305076802,-3.448548188
5.8507,10.41989,1.780964671,2819.8,0.72036,0.921342595,14.67134987,1.306032364,-3.779616164,-3.732258458
5.75428,10.54748,1.832979973,2566.31,0.70918,0.858693059,14.76674227,1.331328093,-3.793469163,-3.762131755
8.16815,10.52737,1.28883162,3199.82,0.73192,1.01319793,14.25194567,1.54079835,-3.448400713,-3.554003965
8.1108,10.25531,1.264401785,3116.86,0.72418,0.964116874,14.84685657,1.675856916,-3.511005361,-3.633478153
7.74023,10.53968,1.361675299,3229.25,0.74936,1.089765777,12.3193215,1.084933958,-3.440751263,-3.517653685
4.08689,4.75983,1.164658212,427.97,0.50594,0.326311852,21.20844735,1.560125277,-4.550743641,-5.347167984
5.06381,7.08528,1.399199417,939.267,0.5264,0.473057982,17.23670005,1.668295598,-3.467578383,-3.634620091
13.69556,13.96867,1.019941499,1519.32,0.68178,0.791265877,19.60474188,1.326311852,-3.137738115,-3.276034295
7.69493,9.54888,1.240931366,1932.37,0.6774,0.781542942,12.59807281,0.935159724,-3.865968295,-3.849004706
7.73922,9.60606,1.241218107,1897.81,0.677,0.782209528,12.22567401,0.895628262,-3.634208529,-3.72161867
4.20115,4.7399,1.128238697,246.312,0.39348,0.22381616,23.39597054,1.108946103,-3.330538899,-4.141562669
7.17951,9.42302,1.3124879,4347,0.78436,1.410151306,10.13695285,0.977490185,-3.298458653,-3.321707895
4.68679,4.84155,1.033020468,444.782,0.46642,0.332092076,20.64539678,1.136877845,-5.061037245,-5.622001867
4.57423,4.8139,1.052395704,437.041,0.4677,0.332951285,20.50340002,1.192319382,-4.924052306,-5.788451773
4.26622,4.77305,1.118800718,588.744,0.4922,0.367895476,19.61308293,0.818303847,-4.784902576,-4.894096467
19.54,37.53,1.920675537,6207.17,0.93,5.8125,5.049085291,0.649396673,-2.87085824,-2.873477568
4.98141,8.08398,1.622829681,1687.67,0.61126,0.667867078,15.75645353,1.35729007,-3.809919006,-3.946247452
4.88927,8.10638,1.657993934,1730.84,0.60644,0.671822431,16.0886173,1.451330327,-3.930239787,-3.996743677
4.97897,7.89565,1.585799874,1727.98,0.60914,0.671399552,15.84204573,1.342599621,-3.883902777,-3.975029956
6.22752,7.54994,1.212350984,2625.77,0.71052,0.886758897,11.8886518,1.142746238,-3.335361995,-3.396305503
6.80894,7.00959,1.02946861,793.947,0.59612,0.35115664,13.83622464,0.555677749,-3.544849834,-3.794566624
4.28231,5.87217,1.371262239,2218.57,0.65652,0.687788949,16.34916838,2.410124517,-3.533360411,-3.653109671
4.06042,6.33732,1.560754799,1600.82,0.62358,0.526414425,15.45053418,1.402063989,-3.689073931,-3.783339573
6.45442,6.88379,1.066523406,867.384,0.5708,0.352076189,15.2946252,0.965170257,-3.248236436,-3.501241598
10.76844,25.42698,2.361250098,2429.07,0.83658,1.279013946,9.649126234,0.388300449,-3.421426526,-3.427896721
5.68454,5.83174,1.025894795,345.079,0.41258,0.271671923,17.53274198,0.575925071,-2.869608421,-3.389293242
5.25081,7.26399,1.383403703,1762.91,0.59932,0.621823803,16.43815468,1.570995815,-3.982810904,-3.805305016
5.5873,6.57451,1.176688204,1582.38,0.60734,0.646685648,14.86359794,1.475528578,-3.42764292,-3.703264046
6.93274,11.69294,1.686626067,2124.14,0.69224,0.973746104,16.93132797,1.538068792,-4.178784691,-4.179430985
7.39815,11.84006,1.60040821,2048.29,0.70204,0.953172308,17.04640619,1.419283152,-4.362796922,-4.269850144
7.36492,11.84801,1.608708581,2067.8,0.70488,0.961580699,16.99209985,1.448822177,-4.192677063,-4.269727717
6.70311,11.79938,1.760284405,2122.86,0.70388,0.958588456,17.12197369,1.516186705,-4.298963679,-4.192686972
7.13512,11.94166,1.673645293,2232.87,0.71434,1.007329985,16.93717002,1.582381726,-4.412450425,-4.267689507
6.91892,12.04076,1.740265822,2134.58,0.70596,0.967361352,16.70079857,1.411465101,-4.379169724,-4.302949951
4.52481,10.64181,2.351879968,2211.32,0.67086,0.750713382,14.40706597,1.163980462,-3.688484827,-3.723598804
7.28684,8.54501,1.172663322,1113.55,0.59522,0.600661998,14.06287845,0.905184027,-3.387971021,-3.470653389
4.40002,8.03493,1.826112154,573.552,0.48206,0.419649697,23.74984918,1.338692186,-4.04055421,-4.224008468
4.27216,9.42427,2.205973091,1474.96,0.61826,0.629302369,18.4068059,0.96118169,-4.367142617,-4.112400684
4.5072,7.01648,1.556727015,804.887,0.5435,0.512571439,15.60606053,0.779821278,-3.919199721,-4.032991821
10.50387,10.88001,1.035809659,981.784,0.59548,0.498831414,18.53904671,1.108153069,-2.761739465,-3.233449825
5.9875,6.82031,1.139091441,825.578,0.5077,0.432210171,16.11327274,1.150084065,-3.434554067,-3.981465794
6.12106,6.83308,1.11632299,793.258,0.50646,0.425850718,16.49612675,1.222993318,-3.534401371,-4.102502416
8.80996,17.2872,1.962233654,4741.45,0.84252,2.197547673,7.799491076,0.641097255,-3.299318188,-3.276403506
5.62993,8.06476,1.432479622,2869.72,0.70336,0.938611779,14.59393133,1.322099526,-3.852366804,-3.866574208
8.65235,9.6188,1.111697978,2701.78,0.67854,0.903923342,15.45391074,1.60263189,-3.802744022,-3.799982206
3.94175,6.41608,1.627723727,692.797,0.58084,0.345557089,15.89956522,0.73425774,-4.245226344,-4.346158191
4.3641,6.81111,1.560713549,1052.63,0.61502,0.409800237,14.22848313,0.666646946,-3.821017423,-3.843611693
4.2994,7.85983,1.828122529,896.656,0.6021,0.572817566,17.77573121,1.751772387,-4.47937364,-4.418048423
7.33698,11.74827,1.601240565,1972.76,0.71176,0.738493463,10.96811937,0.532806698,-3.401415942,-3.475414763
11.51164,12.50781,1.086535889,1917.32,0.73012,0.811359838,15.80566553,0.636298751,-3.590516656,-3.563797595
11.17828,12.20276,1.091649162,1798.43,0.71436,0.764480078,15.92454072,0.622154564,-3.642543775,-3.598435402
6.87343,12.16451,1.769787428,2800.76,0.71512,0.923003453,12.2264707,0.953484159,-3.580418903,-3.591787331
5.4451,6.31092,1.159009017,645.76,0.49582,0.445232665,14.94573609,0.449978876,-4.251141138,-4.160979957
4.93668,5.48228,1.11051962,785.597,0.53086,0.447990683,19.71015683,1.977300073,-3.289734897,-3.795296552
4.89759,5.65614,1.154882299,913.914,0.55704,0.500444708,18.16749408,1.699744648,-3.248203354,-3.779660084
4.51467,5.44142,1.205275247,500.175,0.5001,0.275040148,18.67003369,1.087907275,-3.042123358,-3.662612366
4.88169,5.99991,1.229064115,1468.41,0.61502,0.556765614,15.3457996,1.283327346,-4.218405583,-4.306031485
4.20229,5.16583,1.229289268,602.813,0.51252,0.439463575,20.7758524,1.722140936,-4.205370209,-5.452581145
5.24025,7.13491,1.361559086,1971.32,0.64884,0.674984864,14.21724168,0.836732133,-4.172987158,-4.147855979
6.30914,7.54763,1.196300922,1344.47,0.61346,0.603359758,13.72775881,0.871856888,-3.436468877,-3.499367333
5.41267,6.44764,1.19121247,2206.57,0.63174,0.687438315,15.09985104,1.772510409,-3.632133099,-3.693939272
5.21845,6.19215,1.186587972,1780.51,0.62202,0.648383939,16.02271924,2.110347599,-3.530735908,-3.761563181
5.72948,7.70901,1.345499068,1552.97,0.59466,0.591760374,15.54796022,1.455718888,-3.719659524,-3.651378174
6.19226,7.11646,1.149250839,1324.79,0.57908,0.561684627,15.59335554,1.663011533,-3.231478689,-3.520879284
5.75134,6.79615,1.181663751,1173.51,0.5675,0.512350583,15.09188675,0.824879746,-3.779396755,-3.543497885
5.81846,6.76349,1.162419266,1181.72,0.56678,0.509076211,15.42753952,0.904202785,-3.936892429,-3.640927101
8.81485,9.37681,1.06375151,1034.7,0.62004,0.60803138,10.87105273,0.214413131,-3.249285943,-3.309977659
11.54677,12.36039,1.070462995,1097.12,0.6806,0.492681444,10.96648277,0.402402549,-2.98188996,-3.087219889
4.59142,5.47244,1.191883992,1247.91,0.55474,0.538467512,18.10655217,1.968927847,-3.976228697,-4.128055504
9.13066,13.54985,1.483994585,3063.99,0.77418,1.229087353,10.78650216,0.631011306,-3.625512661,-3.625222036
5.06628,5.31376,1.048848465,500.296,0.43594,0.290756538,18.52235855,1.095341031,-3.616951757,-4.400617215
8.54605,20.14565,2.357305422,5410.53,0.8642,2.526442575,6.860425302,0.567635053,-3.203436492,-3.230289278
7.46421,8.75902,1.173469128,2449.21,0.68932,0.89469442,14.31390765,1.175415367,-3.895779432,-3.893921108
4.41775,4.76295,1.078139324,485.717,0.47632,0.362347285,27.84955146,4.214832324,-2.222360124,-3.456434636
4.56338,5.47883,1.200607883,348.291,0.45418,0.217427521,13.47211502,0.184592982,-3.371060582,-3.447425429
4.1969,5.64744,1.345621768,1024.7,0.56064,0.516404768,18.45717327,1.977283508,-4.592433361,-4.949711326
10.45745,10.54661,1.008525979,1438.1,0.66182,0.75013488,13.2375082,0.630140307,-4.036700765,-3.477054199
10.23297,10.35764,1.012183169,1390.52,0.65554,0.733276882,13.79901298,0.680845657,-4.050247996,-3.522195578
10.09526,10.20776,1.011143844,1062.17,0.6163,0.608595185,10.75140336,0.309655761,-3.314218403,-3.460731929
9.95473,10.07029,1.011608552,1045.07,0.61098,0.598126267,10.63616158,0.297175701,-3.315353224,-3.40006451
10.23127,10.36311,1.012885986,1409.99,0.6572,0.738175655,13.2675107,0.614796222,-3.845347422,-3.732242213
10.2098,10.32563,1.011344982,921.145,0.6122,0.52518251,10.85788469,0.288344235,-3.192680663,-3.23624087
9.78954,9.9082,1.012121101,1055.67,0.6064,0.587750671,10.62874027,0.288539093,-3.347422602,-3.416777502
9.63706,9.77409,1.014219067,1141.74,0.59722,0.60298575,12.18818945,0.502888567,-3.415109219,-3.374103384
9.89092,10.03622,1.014690241,1208.74,0.6104,0.63534888,12.32756704,0.517643832,-3.43852911,-3.498180379
5.16047,6.75364,1.308725756,2935.51,0.6548,0.819826069,16.05178044,2.990539198,-3.742441282,-3.840428267
5.02845,6.64209,1.320902067,2823.58,0.65108,0.805574734,16.39250982,3.134429562,-3.727725329,-3.89601152
5.44633,7.19383,1.320858266,3056.13,0.67,0.874350599,15.16085437,2.603329929,-3.626761409,-3.718598518
5.16957,6.75186,1.306077682,2939.45,0.65506,0.820151595,16.05977739,3.005333333,-3.694035951,-3.833481038
