PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CH4,N1bar_CH4
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,40,32,24,0,0,4,12.03414867,0.834636695
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,16.52522887,1.371693283
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,22.77175443,2.099874299
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,47.36842105,15.78947368,0,31.57894737,0,5.263157895,14.93736433,0.991812639
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,34.375,12.5,12.5,34.375,0,6.25,13.66707401,0.441967069
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,45,15,0,31.66666667,0,8.333333333,12.95715471,0.868830393
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,0,2.654867257,13.60741392,0.847620737
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,45.45454545,13.63636364,0,36.36363636,0,4.545454545,16.12012026,1.022298353
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,47.61904762,9.523809524,0,38.0952381,0,4.761904762,12.20453317,0.816390219
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,50.89285714,32.14285714,2.678571429,11.60714286,0,2.678571429,11.46884557,0.944581371
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,49.48453608,30.92783505,3.092783505,13.40206186,0,3.092783505,15.74703336,1.282219009
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,44.7761194,26.86567164,4.47761194,19.40298507,0,4.47761194,19.27875689,1.876677486
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,16.27611361,1.068945628
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,16,18,0,48,0,10,20.6800747,0.514089446
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,0,3.03030303,19.57435979,1.226379156
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,0,5.617977528,18.40127647,0.709293906
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,46.34146341,14.63414634,0,19.51219512,14.63414634,4.87804878,17.56798804,0.467151714
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,48,30,6,12,2,2,12.28027585,0.53901229
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,0,1.818181818,18.14932539,2.774701372
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,44.94382022,40.4494382,8.988764045,4.494382022,0,1.123595506,22.19726777,2.513117645
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,0,3.092783505,20.10442384,1.642053999
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,0,2.205882353,6.885394042,0.564231448
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,44,24,8,20,0,4,11.213642,0.82208075
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,44.73684211,26.31578947,0,23.68421053,0,5.263157895,13.3595706,0.826750993
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,0,1.754385965,7.503938608,0.399314665
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,40,24,16,16,0,4,17.59587344,1.112397227
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,20.54362744,1.147393736
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,20.35009374,1.094529335
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,20.52417869,1.117126141
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,20.71383914,1.098048961
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,0,1.639344262,21.16593827,1.507629585
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,51.76470588,37.64705882,4.705882353,0,0.588235294,2.941176471,13.97169147,1.138396289
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,42.10526316,5.263157895,0,26.31578947,21.05263158,5.263157895,14.58160238,0.830251748
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,0,4.516129032,19.53745058,0.617262521
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,13.45058855,1.29964607
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,12.71584951,1.101035879
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,53.84615385,26.92307692,0,15.38461538,0,3.846153846,10.65578837,0.881083584
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,53.7037037,24.07407407,0,18.51851852,0,3.703703704,12.52878025,1.265528084
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,51.61290323,19.35483871,0,25.80645161,0,3.225806452,17.61597746,1.84151555
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,28.00587815,1.375928694
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,0,2.325581395,20.46845522,1.850731142
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,0,3.448275862,20.33440286,1.092019573
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,47.61904762,9.523809524,0,38.0952381,0,4.761904762,14.50180777,1.168480428
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,47.61904762,9.523809524,0,38.0952381,0,4.761904762,14.77043583,1.242820714
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,0,2.222222222,13.20037172,1.164766683
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,34.50980392,28.23529412,31.37254902,0,1.176470588,4.705882353,15.69194526,1.254839102
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,11.91640232,0.521776965
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,44.44444444,11.11111111,0,33.33333333,0,11.11111111,11.39239068,0.520105467
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,44.44444444,11.11111111,0,33.33333333,0,11.11111111,11.35852234,0.527076556
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,11.86661856,0.515243065
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,44.44444444,11.11111111,0,33.33333333,0,11.11111111,11.38045344,0.505276854
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,0,5.769230769,14.26140761,1.126024831
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,23.25848028,3.012094503
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,24.0452093,2.984820957
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,23.36314997,2.954254751
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,46.47887324,33.8028169,0,16.90140845,0,2.816901408,14.14636694,1.080022759
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,43.47826087,8.695652174,0,39.13043478,0,8.695652174,16.52438356,0.669353612
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,45.45454545,25,4.545454545,20.45454545,0,4.545454545,17.38060302,1.069192481
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,0,1.754385965,14.91196548,1.221628213
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,43.90243902,29.26829268,0,19.51219512,0,4.87804878,16.21381086,1.664466752
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,0,2.127659574,15.06161135,1.254388091
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,50.66666667,30.66666667,8,8,0,2.666666667,17.93493847,1.020596372
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,45.45454545,9.090909091,0,36.36363636,0,9.090909091,13.52648531,0.983092633
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,50,22.72727273,2.272727273,18.18181818,2.272727273,4.545454545,14.67134987,1.306032364
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,14.76674227,1.331328093
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,55.94405594,30.76923077,0,11.18881119,0,2.097902098,14.25194567,1.54079835
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,55.94405594,30.76923077,0,11.18881119,0,2.097902098,14.84685657,1.675856916
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,55.94405594,30.76923077,0,11.18881119,0,2.097902098,12.3193215,1.084933958
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,50.74626866,17.91044776,0,26.86567164,0,4.47761194,21.20844735,1.560125277
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,47.16981132,32.0754717,9.433962264,9.433962264,0,1.886792453,17.23670005,1.668295598
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,44.44444444,22.22222222,0,27.77777778,0,5.555555556,19.60474188,1.326311852
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,12.59807281,0.935159724
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,12.22567401,0.895628262
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,41.17647059,29.41176471,5.882352941,17.64705882,0,5.882352941,23.39597054,1.108946103
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,54,26,2,16,0,2,10.13695285,0.977490185
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,47.22222222,33.33333333,16.66666667,0,0,2.777777778,20.64539678,1.136877845
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,47.22222222,33.33333333,16.66666667,0,0,2.777777778,20.50340002,1.192319382
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,47.22222222,33.33333333,16.66666667,0,0,2.777777778,19.61308293,0.818303847
19.54,37.53,6207.17,0.93,0.16,5.8125,54.54545455,33.56643357,1.398601399,8.391608392,0,2.097902098,5.049085291,0.649396673
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,15.75645353,1.35729007
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,16.0886173,1.451330327
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,15.84204573,1.342599621
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,51.1627907,23.25581395,2.325581395,18.60465116,0,4.651162791,11.8886518,1.142746238
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,22.22222222,22.22222222,33.33333333,0,11.11111111,11.11111111,13.83622464,0.555677749
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,52.27272727,20.45454545,0,22.72727273,0,4.545454545,16.34916838,2.410124517
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,52.27272727,20.45454545,0,22.72727273,0,4.545454545,15.45053418,1.402063989
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,47.36842105,15.78947368,0,31.57894737,0,5.263157895,15.2946252,0.965170257
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,49.82698962,24.91349481,4.152249135,13.84083045,2.076124567,5.190311419,9.649126234,0.388300449
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,50,30,0,16.66666667,0,3.333333333,17.53274198,0.575925071
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,43.75,18.75,6.25,25,0,6.25,16.43815468,1.570995815
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,43.75,18.75,6.25,25,0,6.25,14.86359794,1.475528578
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,52.17391304,34.7826087,8.695652174,0,0,2.173913043,16.93132797,1.538068792
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,52.17391304,34.7826087,8.695652174,0,0,2.173913043,17.04640619,1.419283152
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,52.17391304,34.7826087,8.695652174,0,0,2.173913043,16.99209985,1.448822177
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,52.17391304,34.7826087,8.695652174,0,0,2.173913043,17.12197369,1.516186705
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,52.17391304,34.7826087,8.695652174,0,0,2.173913043,16.93717002,1.582381726
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,52.17391304,34.7826087,8.695652174,0,0,2.173913043,16.70079857,1.411465101
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,47.36842105,15.78947368,0,31.57894737,0,5.263157895,14.40706597,1.163980462
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,48.21428571,37.5,12.5,0,0,1.785714286,14.06287845,0.905184027
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,48.4375,35.9375,10.9375,3.125,0,1.5625,23.74984918,1.338692186
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,46.875,21.875,6.25,20.3125,0,4.6875,18.4068059,0.96118169
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,44.18604651,34.10852713,12.40310078,7.751937984,0,1.550387597,15.60606053,0.779821278
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,53.16455696,27.84810127,0,15.18987342,0,3.797468354,18.53904671,1.108153069
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,16.11327274,1.150084065
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,16.49612675,1.222993318
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,56.49717514,29.37853107,2.259887006,9.039548023,1.129943503,1.694915254,7.799491076,0.641097255
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,42.10526316,42.10526316,7.01754386,7.01754386,0,1.754385965,14.59393133,1.322099526
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,54,30,0,13,0,3,15.45391074,1.60263189
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,46.15384615,25.64102564,20.51282051,0,0,7.692307692,15.89956522,0.73425774
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,46.15384615,25.64102564,20.51282051,0,0,7.692307692,14.22848313,0.666646946
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,44.11764706,27.94117647,4.411764706,19.11764706,0,4.411764706,17.77573121,1.751772387
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,47.05882353,17.64705882,0,23.52941176,0,5.882352941,10.96811937,0.532806698
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,47.05882353,17.64705882,0,23.52941176,0,5.882352941,15.80566553,0.636298751
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,47.05882353,17.64705882,0,23.52941176,0,5.882352941,15.92454072,0.622154564
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,47.61904762,28.57142857,0,19.04761905,0,4.761904762,12.2264707,0.953484159
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,43.90243902,39.02439024,4.87804878,9.756097561,0,2.43902439,14.94573609,0.449978876
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,55.17241379,27.5862069,0,13.79310345,0,3.448275862,19.71015683,1.977300073
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,54.23728814,28.24858757,0,14.12429379,0,3.389830508,18.16749408,1.699744648
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,43.90243902,14.63414634,0,29.26829268,0,4.87804878,18.67003369,1.087907275
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,45.94594595,21.62162162,0,27.02702703,0,5.405405405,15.3457996,1.283327346
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,47.76119403,38.80597015,5.970149254,5.970149254,0,1.492537313,20.7758524,1.722140936
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,47.76119403,23.88059701,0,23.88059701,0,4.47761194,14.21724168,0.836732133
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,34.28571429,28.57142857,34.28571429,0,0,2.857142857,13.72775881,0.871856888
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,50,26.92307692,3.846153846,15.38461538,0,3.846153846,15.09985104,1.772510409
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,50,26.92307692,3.846153846,15.38461538,0,3.846153846,16.02271924,2.110347599
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,50,26.92307692,3.846153846,15.38461538,0,3.846153846,15.54796022,1.455718888
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,34.7826087,26.08695652,10.86956522,23.91304348,0,4.347826087,15.59335554,1.663011533
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,39.28571429,37.5,10.71428571,8.928571429,0,3.571428571,15.09188675,0.824879746
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,39.28571429,37.5,10.71428571,8.928571429,0,3.571428571,15.42753952,0.904202785
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,30.37974684,53.16455696,11.39240506,0,0,5.063291139,10.87105273,0.214413131
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,44.44444444,11.11111111,0,33.33333333,0,11.11111111,10.96648277,0.402402549
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,42.64705882,35.29411765,5.882352941,11.76470588,2.941176471,1.470588235,18.10655217,1.968927847
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,43.68932039,25.24271845,14.5631068,11.65048544,0,4.854368932,10.78650216,0.631011306
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,31.25,12.5,12.5,31.25,0,12.5,18.52235855,1.095341031
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,54.54545455,30.3030303,0,12.12121212,0,3.03030303,6.860425302,0.567635053
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,43.24324324,21.62162162,28.82882883,1.801801802,0,4.504504505,14.31390765,1.175415367
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,45.71428571,28.57142857,11.42857143,11.42857143,0,2.857142857,27.84955146,4.214832324
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,29.26829268,0,0,58.53658537,0,12.19512195,13.47211502,0.184592982
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,49.41176471,28.23529412,0,16.47058824,0,3.529411765,18.45717327,1.977283508
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,36,44,8,8,0,4,13.2375082,0.630140307
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,36,44,8,8,0,4,13.79901298,0.680845657
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,34.61538462,42.30769231,7.692307692,7.692307692,3.846153846,3.846153846,10.75140336,0.309655761
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,34.61538462,42.30769231,7.692307692,7.692307692,3.846153846,3.846153846,10.63616158,0.297175701
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,37.5,41.66666667,8.333333333,8.333333333,0,4.166666667,13.2675107,0.614796222
