PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
10.509,10.935,1043.35,0.536,2.93E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.262
10.094,10.352,868.988,0.565,3.07E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.255
18.428,18.675,1717.73,0.669,1.88E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.184
33.664,33.744,1794.64,0.779,1.67E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.164
8.967,9.948,801.162,0.554,2.92E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.266
12.347,12.628,1030.01,0.527,3.39E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.287
13.062,13.475,743.521,0.523,2.01E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.183
19.008,19.223,1268.77,0.583,1.19E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.117
12.755,12.885,1015.85,0.531,2.94E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.258
12.722,13.014,807.426,0.537,2.41E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.217
22.815,22.963,1678.58,0.666,1.68E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.165
19.957,20.047,1245.94,0.587,1.14E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.113
41.164,41.214,1792.97,0.772,1.66E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.164
15.082,15.329,1098.49,0.577,1.49E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.146
15.676,15.871,911.73,0.606,4.28E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.342
24.331,24.423,1316.59,0.635,1.52E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.147
9.877,16.591,4555.12,0.808,3.20E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.315
8.753,16.406,4069.56,0.787,3.71E-06,62.5,30,7.5,0,0,0,0.362
11.553,15.592,5422.51,0.867,3.05E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.303
16.784,18.199,5444.59,0.874,3.12E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.312
18.48,19.568,5597.6,0.868,3.21E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.321
14.558,16.838,5131.47,0.868,2.77E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.274
22.728,25.062,7950.65,0.942,5.48E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.552
31.672,32.012,7615.21,0.942,5.52E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.557
19.861,21.92,7690.6,0.932,5.05E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.499
30.37,30.787,7427.89,0.938,5.37E-06,62.5,30,7.5,0,0,0,0.531
17.648,20.795,7553.82,0.927,4.88E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.485
16.722,19.521,7352.35,0.918,4.64E-06,62.5,30,7.5,0,0,0,0.463
35.806,41.87,7125.22,0.954,6.20E-06,58.33333333,31.25,10.41666667,0,0,0,0.597
32.87,41.881,7171,0.954,6.15E-06,58.33333333,31.25,10.41666667,0,0,0,0.598
28.619,34.85,5968.36,0.945,5.01E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.488
29.16,36.517,5378.9,0.942,4.40E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.428
26.088,32.957,5944.69,0.939,5.01E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.484
29.414,36.171,5501.21,0.942,4.74E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.457
26.35,33.332,5425.41,0.935,4.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.426
29.33,36.803,5028.97,0.938,4.37E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.417
42.208,52.54,7320.93,0.968,8.53E-06,62.5,30,7.5,0,0,0,0.837
40.538,51.79,7210.38,0.968,8.47E-06,62.5,30,7.5,0,0,0,0.835
40.5,51.581,7008.86,0.965,8.08E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.792
8.391,16.452,4963.62,0.802,3.86E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.386
8.947,17.648,5235.63,0.819,3.67E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.368
15.008,17.345,6662.58,0.865,3.97E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.393
14.663,17.944,5975.91,0.861,3.47E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.345
14.575,19.983,5913.55,0.869,3.46E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.344
13.289,19.31,5387.45,0.865,3.08E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.303
15.245,18.887,5756.56,0.867,3.48E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.346
14.495,17.552,5441.81,0.859,3.02E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.303
12.225,20.569,5437,0.871,3.08E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.308
12.227,19.198,5051.36,0.865,2.82E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.278
22.537,33.151,7998.04,0.944,5.62E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.563
22.24,32.913,7664.45,0.94,5.40E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.536
22.599,30.831,7726.08,0.937,5.28E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.526
22.35,30.435,7471.15,0.934,5.11E-06,62.5,30,7.5,0,0,0,0.504
24.485,28.86,7542.75,0.932,5.08E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.506
24.133,28.718,7247.14,0.928,4.93E-06,62.5,30,7.5,0,0,0,0.494
24.4,26.965,7290.65,0.925,4.85E-06,62.5,30,7.5,0,0,0,0.482
24.105,26.832,7027.99,0.92,4.73E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.468
21.069,31.151,6126.46,0.928,4.33E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.433
11.474,16.901,6837.11,0.884,3.78E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.373
10.326,14.695,6012.45,0.873,3.37E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.339
11.312,16.976,6182.25,0.876,3.34E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.336
10.333,14.637,5450.44,0.866,3.03E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.299
12.274,17.441,6022.77,0.88,3.48E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.351
10.58,17.029,5394.55,0.866,3.10E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.312
12.122,17.832,5541.44,0.872,3.11E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.31
11.126,17.022,5020.57,0.862,2.86E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.284
18.491,27.101,7855.52,0.941,5.51E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.54
19.632,28.306,7634.54,0.941,5.53E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.549
18.237,28.057,7553.85,0.938,5.32E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.53
19.037,28.414,7415.17,0.937,5.31E-06,62.5,30,7.5,0,0,0,0.534
17.763,26.988,7571.33,0.937,5.24E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.523
15.508,27.76,7413.7,0.929,4.94E-06,62.5,30,7.5,0,0,0,0.495
17.58,26.029,7279.86,0.932,5.10E-06,62.5,30,7.5,0,0,0,0.507
18.12,26.518,7162.66,0.932,5.11E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.513
34.115,50.181,6924.62,0.961,6.69E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.67
21.265,28.251,6477.28,0.928,4.39E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.436
19.949,28.285,5363.61,0.92,3.67E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.37
20.11,28.77,6437.51,0.926,4.43E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.442
