PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
15.947,16.169,1465.53,0.644,4.53E-07,61.20689655,31.03448276,7.75862069,0,0,0,0.045
16.472,16.583,1676.79,0.663,5.21E-07,59.09090909,32.72727273,8.181818182,0,0,0,0.053
15.381,15.668,1433.34,0.635,4.37E-07,61.86440678,30.50847458,7.627118644,0,0,0,0.044
15.669,15.947,1504.32,0.634,4.43E-07,61.20689655,31.03448276,7.75862069,0,0,0,0.045
15.113,15.264,1356.15,0.61,3.88E-07,63.70967742,29.03225806,7.258064516,0,0,0,0.039
16.094,16.21,1488.11,0.626,4.23E-07,61.86440678,30.50847458,7.627118644,0,0,0,0.042
15.177,15.397,1309.17,0.601,3.66E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.036
9.087,9.336,1019.78,0.525,3.18E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.032
9.372,9.974,804.924,0.534,2.75E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.027
17.964,18.051,1691.24,0.661,5.21E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.052
14.63,15,1279.89,0.586,3.38E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.033
33.378,33.495,1780.6,0.768,7.38E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.073
10.345,10.822,1003.89,0.529,3.03E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.03
10.119,10.58,785.461,0.529,2.65E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.026
16.358,16.681,1260.55,0.584,3.27E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.033
10.3,10.779,1041.07,0.534,3.10E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.031
16.958,17.79,1684.13,0.649,5.01E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.05
15.573,15.629,1240.36,0.586,3.39E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.034
9.013,9.485,884.061,0.514,2.95E-07,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.029
8.348,8.831,871.992,0.517,2.80E-07,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.028
8.439,9.032,744.34,0.508,2.50E-07,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.024
9.137,9.38,856.73,0.516,2.79E-07,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.028
9.21,9.494,756.808,0.506,2.55E-07,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.025
8.821,9.141,781.918,0.507,2.59E-07,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.026
8.897,9.257,640.835,0.501,2.39E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.024
8.396,8.718,769.645,0.508,2.50E-07,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.025
7.703,7.897,644.491,0.488,1.95E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.02
8.607,8.84,676.198,0.499,2.25E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.022
8.771,9.05,632.394,0.497,2.16E-07,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.021
8.163,8.514,617.02,0.497,2.12E-07,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.021
16.481,16.795,1635.35,0.645,4.77E-07,59.45945946,32.43243243,8.108108108,0,0,0,0.047
15.652,15.788,1628.63,0.647,4.80E-07,59.45945946,32.43243243,8.108108108,0,0,0,0.048
15.712,15.903,1526.89,0.631,4.41E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.044
16.081,16.163,1496.17,0.619,4.15E-07,61.53846154,30.76923077,7.692307692,0,0,0,0.041
15.488,15.845,1513.9,0.618,4.32E-07,61.53846154,30.76923077,7.692307692,0,0,0,0.042
14.528,14.581,1467.78,0.606,3.94E-07,62.5,30,7.5,0,0,0,0.039
15.309,15.606,1538.87,0.637,4.50E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.045
15.119,15.309,1487.25,0.624,4.26E-07,61.53846154,30.76923077,7.692307692,0,0,0,0.043
14.512,14.85,1448.47,0.619,4.14E-07,61.53846154,30.76923077,7.692307692,0,0,0,0.041
15.157,15.276,1358.22,0.602,3.74E-07,63.41463415,29.26829268,7.317073171,0,0,0,0.037
14.306,14.691,1343.57,0.598,3.69E-07,63.41463415,29.26829268,7.317073171,0,0,0,0.037
14.466,14.733,1224.82,0.581,3.32E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.033
23.038,23.25,1027.88,0.626,3.91E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.039
10.509,10.935,1043.35,0.536,3.39E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.034
10.094,10.352,868.988,0.565,3.03E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.03
18.428,18.675,1717.73,0.669,5.38E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.053
33.664,33.744,1794.64,0.779,7.57E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.076
8.967,9.948,801.162,0.554,3.29E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.033
12.347,12.628,1030.01,0.527,3.30E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.033
13.062,13.475,743.521,0.523,2.50E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.025
19.008,19.223,1268.77,0.583,3.40E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.034
12.755,12.885,1015.85,0.531,3.23E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.032
12.722,13.014,807.426,0.537,2.74E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.027
