PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,O2-1 bar (mol/kg)
16.952,24.876,7817.32,0.928,5.06E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.503
31.325,45.068,7588.71,0.97,8.19E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.818
9.422,14.922,4865.45,0.801,4.56E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.446
9.91,15.602,5163.49,0.817,4.21E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.42
11.042,16.084,6834.39,0.878,3.91E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.394
12.341,16.549,6319.93,0.881,3.69E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.372
11.429,17.033,5952.14,0.877,3.47E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.345
11.571,16.185,5635.2,0.874,3.28E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.328
12.918,15.473,6149,0.879,3.45E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.344
11.864,15.251,5810.15,0.871,3.29E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.325
12.577,15.047,5157.42,0.869,2.98E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.298
11.142,15.032,6369.79,0.872,3.65E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.364
11.744,16.485,6036.53,0.878,3.45E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.344
11.323,16.898,5769.86,0.874,3.26E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.326
11.506,16.118,5413.26,0.87,3.10E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.308
12.134,15.013,5735.03,0.873,3.25E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.324
12.275,15.887,5467.92,0.871,3.11E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.31
11.696,15.332,5309.73,0.868,2.94E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.294
11.714,15.212,5022.88,0.865,2.82E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.28
20.726,27.366,7945.32,0.944,5.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.571
21.475,26.403,7773.37,0.943,5.67E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.567
19.661,27.796,7639.83,0.943,5.62E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.566
21.074,26.74,7545.16,0.939,5.53E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.55
20.253,26.014,7628.25,0.939,5.51E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.556
20.738,25.01,7446.36,0.936,5.37E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.536
18.701,25.643,7320.83,0.934,5.30E-06,62.5,30,7.5,0,0,0,0.534
18.855,26.084,7262.46,0.933,5.38E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.536
20.096,27.172,7765.24,0.943,5.63E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.56
20.86,26.3,7613.51,0.941,5.58E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.557
19.194,28.217,7525.48,0.94,5.54E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.556
20.507,26.554,7389.26,0.937,5.48E-06,62.5,30,7.5,0,0,0,0.547
20.151,25.879,7431.38,0.937,5.44E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.542
20.672,25.014,7332.2,0.934,5.31E-06,62.5,30,7.5,0,0,0,0.532
18.546,27.708,7193.31,0.933,5.33E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.537
19.906,25.392,7201.83,0.932,5.32E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.526
18.177,18.376,6662.03,0.894,4.06E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.401
15.612,16.303,6029.87,0.888,3.50E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.35
