PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CO2-1 bar (mol/kg)
12.122,17.832,5541.44,0.872,1.45E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.510
11.126,17.022,5020.57,0.862,1.67E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.696
18.491,27.101,7855.52,0.941,1.00E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.019
19.632,28.306,7634.54,0.941,1.07E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.081
18.237,28.057,7553.85,0.938,1.04E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.054
19.037,28.414,7415.17,0.937,1.10E-05,62.5,30,7.5,0,0,0,1.123
17.763,26.988,7571.33,0.937,1.04E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.041
15.508,27.760,7413.7,0.929,1.08E-05,62.5,30,7.5,0,0,0,1.077
17.580,26.029,7279.86,0.932,1.08E-05,62.5,30,7.5,0,0,0,1.085
18.120,26.518,7162.66,0.932,1.14E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.155
34.115,50.181,6924.62,0.961,1.09E-05,57.14285714,23.80952381,9.523809524,9.523809524,0,0,1.089
21.265,28.251,6477.28,0.928,1.13E-05,57.14285714,22.85714286,14.28571429,0,0,0.057142857,1.153
19.949,28.285,5363.61,0.920,1.86E-05,57.14285714,5.714285714,14.28571429,0,0,0.228571429,1.944
20.110,28.770,6437.51,0.926,1.22E-05,57.14285714,22.85714286,14.28571429,0,0,0.057142857,1.209
20.970,28.503,4983.02,0.918,1.73E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.932
34.716,46.520,7975.16,0.966,1.23E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.255
32.710,45.067,7359.79,0.960,1.34E-05,63.23529412,29.41176471,7.352941176,0,0,0,1.362
34.138,46.275,7809.81,0.965,1.25E-05,59.67741935,32.25806452,8.064516129,0,0,0,1.262
8.697,16.439,5618.68,0.844,1.83E-05,57.14285714,5.714285714,14.28571429,0,0,0.228571429,1.931
8.949,16.560,6119.57,0.842,1.57E-05,57.14285714,22.85714286,14.28571429,0,0,0.057142857,1.586
8.469,15.111,5258.04,0.836,2.08E-05,57.14285714,0,14.28571429,0,0,0.285714286,2.136
16.295,27.924,7909.77,0.929,9.41E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.940
15.388,29.075,7145.18,0.916,1.11E-05,63.23529412,29.41176471,7.352941176,0,0,0,1.135
16.952,24.876,7817.32,0.928,9.81E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.991
31.325,45.068,7588.71,0.970,1.19E-05,57.14285714,23.80952381,9.523809524,9.523809524,0,0,1.186
9.422,14.922,4865.45,0.801,2.22E-05,59.18367347,32.65306122,8.163265306,0,0,0,2.380
9.910,15.602,5163.49,0.817,1.77E-05,57.14285714,32.65306122,8.163265306,0,0.020408163,0,1.887
11.042,16.084,6834.39,0.878,9.46E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.971
12.341,16.549,6319.93,0.881,1.12E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.157
11.429,17.033,5952.14,0.877,1.34E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.374
11.571,16.185,5635.2,0.874,1.46E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.527
12.918,15.473,6149,0.879,1.24E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.270
11.864,15.251,5810.15,0.871,1.39E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.457
12.577,15.047,5157.42,0.869,1.65E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.718
11.142,15.032,6369.79,0.872,1.16E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.196
11.744,16.485,6036.53,0.878,1.23E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.277
11.323,16.898,5769.86,0.874,1.48E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.528
11.506,16.118,5413.26,0.870,1.52E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.586
12.134,15.013,5735.03,0.873,1.33E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.405
12.275,15.887,5467.92,0.871,1.38E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.424
11.696,15.332,5309.73,0.868,1.67E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.694
11.714,15.212,5022.88,0.865,1.65E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.691
20.726,27.366,7945.32,0.944,9.99E-06,58.33333333,33.33333333,8.333333333,0,0,0,1.007
21.475,26.403,7773.37,0.943,1.03E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.035
19.661,27.796,7639.83,0.943,1.06E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.069
21.074,26.740,7545.16,0.939,1.09E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.098
20.253,26.014,7628.25,0.939,1.04E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.055
20.738,25.010,7446.36,0.936,1.07E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.083
18.701,25.643,7320.83,0.934,1.10E-05,62.5,30,7.5,0,0,0,1.126
18.855,26.084,7262.46,0.933,1.15E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.172
20.096,27.172,7765.24,0.943,1.02E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.026
20.860,26.300,7613.51,0.941,1.04E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.062
19.194,28.217,7525.48,0.940,1.08E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.081
20.507,26.554,7389.26,0.937,1.11E-05,62.5,30,7.5,0,0,0,1.117
