PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCH4 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CH4-1 bar (mol/kg)
9.372,9.974,804.924,0.534,1.18E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.693
17.964,18.051,1691.24,0.661,4.38E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.427
14.63,15,1279.89,0.586,2.94E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.288
33.378,33.495,1780.6,0.768,3.26E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.314
10.345,10.822,1003.89,0.529,1.16E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.72
10.119,10.58,785.461,0.529,9.78E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.627
16.358,16.681,1260.55,0.584,2.87E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.272
10.3,10.779,1041.07,0.534,1.43E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.775
16.958,17.79,1684.13,0.649,5.48E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.523
15.573,15.629,1240.36,0.586,3.02E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.292
9.013,9.485,884.061,0.514,2.43E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.94
8.348,8.831,871.992,0.517,1.97E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.893
8.439,9.032,744.34,0.508,1.79E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.762
9.137,9.38,856.73,0.516,1.95E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.875
9.21,9.494,756.808,0.506,1.80E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.797
8.821,9.141,781.918,0.507,1.87E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.826
8.897,9.257,640.835,0.501,1.51E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.746
8.396,8.718,769.645,0.508,2.71E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.881
7.703,7.897,644.491,0.488,8.25E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.457
8.607,8.84,676.198,0.499,1.95E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.77
8.771,9.05,632.394,0.497,1.29E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.638
8.163,8.514,617.02,0.497,1.38E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.671
16.481,16.795,1635.35,0.645,4.29E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.422
15.652,15.788,1628.63,0.647,4.50E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.443
15.712,15.903,1526.89,0.631,4.20E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.405
16.081,16.163,1496.17,0.619,3.88E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.38
15.488,15.845,1513.9,0.618,4.56E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.442
14.528,14.581,1467.78,0.606,4.09E-06,62.5,30,7.5,0,0,0,0.397
15.309,15.606,1538.87,0.637,4.09E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.405
15.119,15.309,1487.25,0.624,3.98E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.394
14.512,14.85,1448.47,0.619,3.92E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.385
15.157,15.276,1358.22,0.602,3.37E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.337
14.306,14.691,1343.57,0.598,3.78E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.374
14.466,14.733,1224.82,0.581,3.39E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.331
23.038,23.25,1027.88,0.626,6.32E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.075
10.509,10.935,1043.35,0.536,1.53E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.931
10.094,10.352,868.988,0.565,1.89E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.753
18.428,18.675,1717.73,0.669,5.08E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.486
33.664,33.744,1794.64,0.779,3.32E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.318
8.967,9.948,801.162,0.554,1.22E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.88
12.347,12.628,1030.01,0.527,2.56E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.938
13.062,13.475,743.521,0.523,8.54E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.572
19.008,19.223,1268.77,0.583,3.35E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.314
12.755,12.885,1015.85,0.531,1.66E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.878
12.722,13.014,807.426,0.537,1.11E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.685
22.815,22.963,1678.58,0.666,4.19E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.407
19.957,20.047,1245.94,0.587,3.14E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.301
41.164,41.214,1792.97,0.772,3.29E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.315
15.082,15.329,1098.49,0.577,4.68E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.448
15.676,15.871,911.73,0.606,3.40E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.943
24.331,24.423,1316.59,0.635,5.53E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.434
9.877,16.591,4555.12,0.808,6.29E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.628
8.753,16.406,4069.56,0.787,8.82E-06,62.5,30,7.5,0,0,0,0.838
11.553,15.592,5422.51,0.867,4.90E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.488
16.784,18.199,5444.59,0.874,5.03E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.502
18.48,19.568,5597.6,0.868,5.48E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.545
14.558,16.838,5131.47,0.868,4.39E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.443
22.728,25.062,7950.65,0.942,7.23E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.722
31.672,32.012,7615.21,0.942,7.50E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.752
19.861,21.92,7690.6,0.932,7.04E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.704
30.37,30.787,7427.89,0.938,7.53E-06,62.5,30,7.5,0,0,0,0.743
17.648,20.795,7553.82,0.927,6.86E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.681
16.722,19.521,7352.35,0.918,6.84E-06,62.5,30,7.5,0,0,0,0.682
35.806,41.87,7125.22,0.954,8.38E-06,58.33333333,31.25,10.41666667,0,0,0,0.809
32.87,41.881,7171,0.954,8.42E-06,58.33333333,31.25,10.41666667,0,0,0,0.819
28.619,34.85,5968.36,0.945,6.97E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.672
29.16,36.517,5378.9,0.942,6.05E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.587
